iter	RMSE
0	14.8631301
1	14.47218938
2	14.09521432
3	13.78847923
4	13.46825515
5	13.13593041
6	12.84649775
7	12.54172672
8	12.27375843
9	11.99383368
10	11.73157969
11	11.46906054
12	11.20174842
13	10.93707404
14	10.72135196
15	10.51842885
16	10.30835637
17	10.08638445
18	9.897471118
19	9.701768125
20	9.509565311
21	9.33172591
22	9.176283648
23	9.006283367
24	8.843853531
25	8.70016699
26	8.557809896
27	8.432770692
28	8.297052259
29	8.181878096
30	8.069863112
31	7.953806471
32	7.839469636
33	7.741716986
34	7.652408798
35	7.541615904
36	7.448758222
37	7.343111422
38	7.261799413
39	7.168633387
40	7.085055355
41	7.007051326
42	6.930853882
43	6.861607384
44	6.785642783
45	6.727887981
46	6.661221741
47	6.595929872
48	6.537398826
49	6.477824083
50	6.425378444
51	6.378605193
52	6.335432192
53	6.297077392
54	6.25095129
55	6.21186774
56	6.170593017
57	6.129419989
58	6.097250758
59	6.069133595
60	6.033311089
61	6.008152612
62	5.976191352
63	5.9442174
64	5.919041346
65	5.88772264
66	5.856944932
67	5.832338383
68	5.803778852
69	5.776456229
70	5.753585234
71	5.735117335
72	5.716717469
73	5.697621596
74	5.675215182
75	5.655679618
76	5.637853497
77	5.619342489
78	5.598669235
79	5.58336431
80	5.564927846
81	5.544925585
82	5.530302425
83	5.513235669
84	5.498332666
85	5.481489264
86	5.472563502
87	5.462665268
88	5.451327081
89	5.440245636
90	5.428233554
91	5.416778406
92	5.405546049
93	5.396023241
94	5.387126372
95	5.377222651
96	5.366502974
97	5.352625041
98	5.340532115
99	5.328851649
100	5.31905746
101	5.308913899
102	5.302352517
103	5.294558244
104	5.288381378
105	5.280208852
106	5.276737314
107	5.266123256
108	5.257389551
109	5.250506353
110	5.244805742
111	5.237477749
112	5.230305675
113	5.22509256
114	5.219002553
115	5.208958076
116	5.201662694
117	5.191595942
118	5.188414493
119	5.183378905
120	5.175989974
121	5.171416254
122	5.164769054
123	5.159078407
124	5.154198615
125	5.145781089
126	5.145024329
127	5.140672555
128	5.137009937
129	5.131295958
130	5.123385646
131	5.119393295
132	5.116520621
133	5.111907683
134	5.106725974
135	5.102334993
136	5.093638176
137	5.091597609
138	5.087629423
139	5.084160881
140	5.081439575
141	5.076066192
142	5.072738398
143	5.066558083
144	5.066003638
145	5.061251367
146	5.058292384
147	5.053613881
148	5.050692468
149	5.046382929
150	5.041467665
151	5.037619613
152	5.035104116
153	5.031485799
154	5.026570739
155	5.022617982
156	5.020096094
157	5.013501634
158	5.009736605
159	5.003729828
160	5.00027596
161	4.99717443
162	4.996262853
163	4.992959393
164	4.98640105
165	4.984619972
166	4.978996227
167	4.976165442
168	4.970129986
169	4.966727982
170	4.962913057
171	4.959975949
172	4.954536675
173	4.951342258
174	4.945806368
175	4.940702823
176	4.938935263
177	4.934785446
178	4.928548695
179	4.923774998
180	4.919770339
181	4.915984141
182	4.91458968
183	4.912419732
184	4.907869162
185	4.905346884
186	4.902128241
187	4.89973675
188	4.897542679
189	4.896202828
190	4.893894305
191	4.887619489
192	4.881191955
193	4.878455948
194	4.872570553
195	4.867200492
196	4.862553482
197	4.858693667
198	4.854982202
199	4.853545131
200	4.849155669
201	4.848008582
202	4.843647311
203	4.839258122
204	4.834738435
205	4.831568016
206	4.829198968
207	4.826725171
208	4.823217542
209	4.822167986
210	4.818914899
211	4.814756668
212	4.810662644
213	4.808771166
214	4.805842074
215	4.802518288
216	4.797596701
217	4.79394212
218	4.790610745
219	4.788270215
220	4.784053393
221	4.78339596
222	4.782554608
223	4.780690945
224	4.77711821
225	4.775266559
226	4.772179487
227	4.768286198
228	4.764298215
229	4.762651781
230	4.759306777
231	4.754805124
232	4.750446723
233	4.748759069
234	4.746238804
235	4.744623174
236	4.737726704
237	4.73531092
238	4.73278373
239	4.731570573
240	4.728595648
241	4.724451955
242	4.72173377
243	4.718893672
244	4.713923204
245	4.711059213
246	4.704855725
247	4.703619105
248	4.699022316
249	4.697718882
250	4.695026413
251	4.689624333
252	4.685336916
253	4.683809868
254	4.679948673
255	4.673741421
256	4.667572227
257	4.663353931
258	4.661495939
259	4.658189509
260	4.654222197
261	4.652465977
262	4.650286061
263	4.646065518
264	4.643007767
265	4.638511761
266	4.636993669
267	4.632152405
268	4.626411911
269	4.621775139
270	4.618318736
271	4.616037811
272	4.613389759
273	4.61115502
274	4.607703748
275	4.606911474
276	4.605858273
277	4.602355075
278	4.600667126
279	4.597045458
280	4.594387278
281	4.58914699
282	4.587687723
283	4.585779004
284	4.582257002
285	4.577396486
286	4.573613772
287	4.572153976
288	4.567684831
289	4.564376982
290	4.561575394
291	4.5587453
292	4.552805776
293	4.550123129
294	4.546482497
295	4.544382048
296	4.542346475
297	4.540577251
298	4.53739621
299	4.536041531
300	4.532075732
301	4.526764241
302	4.521273098
303	4.519928538
304	4.518193924
305	4.515869827
306	4.512648645
307	4.509038353
308	4.507634543
309	4.505308338
310	4.502503917
311	4.500472601
312	4.499770723
313	4.496967701
314	4.492847695
315	4.491936651
316	4.48989581
317	4.485779368
318	4.482671258
319	4.480271161
320	4.475821997
321	4.472752854
322	4.470524201
323	4.465964378
324	4.460469934
325	4.455756928
326	4.452457169
327	4.450868505
328	4.446854637
329	4.442959555
330	4.442134304
331	4.436444263
332	4.435049726
333	4.433255777
334	4.428095338
335	4.427401421
336	4.42378245
337	4.422676888
338	4.421875217
339	4.417413223
340	4.412303676
341	4.407428127
342	4.404950213
343	4.403375664
344	4.400711097
345	4.398619298
346	4.394223111
347	4.389624341
348	4.386244982
349	4.380292189
350	4.379020256
351	4.375280818
352	4.373678611
353	4.373196728
354	4.368466256
355	4.364978106
356	4.360449296
357	4.355959296
358	4.353493989
359	4.353003023
360	4.352031765
361	4.348497386
362	4.344439357
363	4.339689482
364	4.338023398
365	4.335681237
366	4.334819183
367	4.333255987
368	4.332402549
369	4.331419219
370	4.32730265
371	4.322888968
372	4.317934314
373	4.312222906
374	4.311296799
375	4.307548698
376	4.303370959
377	4.299701134
378	4.298908432
379	4.295271568
380	4.292212406
381	4.287767511
382	4.284671068
383	4.280681784
384	4.277555826
385	4.274225511
386	4.271988754
387	4.269472579
388	4.26612519
389	4.263083653
390	4.257182824
391	4.252314228
392	4.247532293
393	4.243434337
394	4.241995705
395	4.24072819
396	4.235507584
397	4.234648387
398	4.232163064
399	4.227449818
400	4.226818083
401	4.225409332
402	4.222379847
403	4.221588924
404	4.219754915
405	4.215695638
406	4.21490849
407	4.211929731
408	4.2105323
409	4.209556082
410	4.205036852
411	4.202843304
412	4.198970368
413	4.196910545
414	4.192207008
415	4.190755307
416	4.187065178
417	4.185347832
418	4.181433305
419	4.178607803
420	4.174853157
421	4.171292324
422	4.170853852
423	4.167493795
424	4.16254102
425	4.160756984
426	4.156582882
427	4.155756026
428	4.151244564
429	4.147073752
430	4.143779832
431	4.139808546
432	4.138404973
433	4.135527218
434	4.134527589
435	4.131130679
436	4.130649035
437	4.12991404
438	4.127337824
439	4.123894102
440	4.119135935
