iter	Passed	Remaining
0	1466	1465068
1	1470	733941
2	1476	490746
3	1479	368312
4	1481	294869
5	1484	245851
6	1486	210800
7	1488	184562
8	1490	164126
9	1492	147755
10	1494	134352
11	1496	123197
12	1498	113767
13	1499	105625
14	1501	98570
15	1502	92399
16	1503	86958
17	1505	82113
18	1506	77781
19	1507	73876
20	1508	70342
21	1510	67138
22	1515	64361
23	1517	61701
24	1519	59258
25	1521	57004
26	1523	54907
27	1525	52964
28	1527	51156
29	1530	49487
30	1532	47911
31	1534	46430
32	1537	45044
33	1538	43715
34	1540	42465
35	1541	41286
36	1543	40166
37	1544	39108
38	1546	38105
39	1547	37151
40	1549	36241
41	1550	35373
42	1552	34546
43	1554	33767
44	1555	33014
45	1557	32292
46	1558	31604
47	1560	30943
48	1562	30320
49	1563	29714
50	1565	29127
51	1566	28565
52	1568	28024
53	1570	27505
54	1571	26999
55	1572	26514
56	1574	26046
57	1575	25591
58	1576	25150
59	1577	24719
60	1579	24306
61	1580	23904
62	1581	23517
63	1582	23143
64	1583	22779
65	1584	22427
66	1586	22085
67	1587	21754
68	1588	21434
69	1589	21120
70	1590	20816
71	1592	20521
72	1593	20233
73	1594	19955
74	1595	19683
75	1597	19418
76	1598	19162
77	1599	18909
78	1600	18663
79	1602	18424
80	1607	18233
81	1613	18066
82	1617	17873
83	1621	17683
84	1625	17499
85	1628	17310
86	1632	17131
87	1635	16952
88	1639	16779
89	1641	16592
90	1642	16409
91	1644	16229
92	1646	16055
93	1647	15881
94	1649	15711
95	1650	15545
96	1652	15387
97	1654	15225
98	1655	15066
99	1656	14909
100	1657	14756
101	1659	14606
102	1660	14460
103	1661	14316
104	1663	14175
105	1664	14037
106	1665	13901
107	1666	13766
108	1668	13634
109	1669	13506
110	1670	13378
111	1671	13253
112	1676	13158
113	1681	13064
114	1684	12965
115	1689	12873
116	1695	12792
117	1697	12691
118	1699	12581
119	1701	12477
120	1710	12422
121	1712	12325
122	1721	12274
123	1723	12175
124	1725	12077
125	1727	11979
126	1728	11878
127	1733	11809
128	1735	11716
129	1737	11624
130	1738	11533
131	1740	11446
132	1748	11397
133	1750	11313
134	1752	11226
135	1753	11141
136	1755	11057
137	1760	10994
138	1762	10914
139	1763	10833
140	1765	10754
141	1766	10675
142	1768	10596
143	1774	10549
144	1775	10470
145	1777	10396
146	1778	10322
147	1780	10251
148	1783	10183
149	1784	10112
150	1786	10042
151	1787	9974
152	1789	9907
153	1793	9850
154	1794	9783
155	1796	9717
156	1797	9652
157	1799	9588
158	1804	9544
159	1806	9482
160	1807	9420
161	1809	9360
162	1810	9298
163	1817	9265
164	1819	9206
165	1820	9146
166	1822	9088
167	1823	9031
168	1825	8977
169	1832	8947
170	1834	8891
171	1835	8838
172	1837	8783
173	1839	8731
174	1841	8682
175	1843	8631
176	1845	8579
177	1848	8534
178	1850	8487
179	1852	8439
180	1854	8391
181	1855	8341
182	1857	8293
183	1859	8245
184	1860	8197
185	1862	8150
186	1864	8104
187	1865	8058
188	1868	8015
189	1871	7980
190	1873	7935
191	1875	7891
192	1876	7847
193	1878	7805
194	1880	7762
195	1885	7735
196	1887	7694
197	1889	7652
198	1891	7613
199	1900	7600
200	1902	7561
201	1904	7522
202	1906	7485
203	1908	7446
204	1911	7412
205	1913	7375
206	1915	7339
207	1917	7301
208	1924	7283
209	1926	7247
210	1928	7210
211	1929	7173
212	1931	7136
213	1937	7117
214	1939	7081
215	1941	7045
216	1942	7009
217	1944	6975
218	1946	6940
219	1948	6906
220	1949	6873
221	1950	6837
222	1952	6802
223	1953	6768
224	1955	6735
225	1957	6702
